Clocks;Locations;Transitions;Time(s)
1;1;1;1.1e-05
1;1;2;1.3e-05
1;1;3;1.7e-05
1;1;4;2e-05
1;1;5;2.5e-05
1;1;6;2.8e-05
1;1;7;3.1e-05
1;1;8;3.4e-05
1;1;9;4.2e-05
1;1;10;4.4e-05
1;1;11;4.7e-05
1;1;12;5e-05
1;1;13;5.4e-05
1;1;14;5.7e-05
1;1;15;5.9e-05
1;2;1;5e-06
1;2;2;1.6e-05
1;2;3;2e-05
1;2;4;2.4e-05
1;2;5;2.9e-05
1;2;6;3.3e-05
1;2;7;3.6e-05
1;2;8;4e-05
1;2;9;4.7e-05
1;2;10;5.2e-05
1;2;11;5.4e-05
1;2;12;5.6e-05
1;2;13;6e-05
1;2;14;7.7e-05
1;2;15;6.9e-05
1;3;1;5e-06
1;3;2;5e-06
1;3;3;2.5e-05
1;3;4;2.8e-05
1;3;5;3.4e-05
1;3;6;3.8e-05
1;3;7;4.2e-05
1;3;8;4.8e-05
1;3;9;5.2e-05
1;3;10;5.5e-05
1;3;11;6e-05
1;3;12;6.3e-05
1;3;13;6.8e-05
1;3;14;7.3e-05
1;3;15;7.7e-05
1;4;1;4e-06
1;4;2;5e-06
1;4;3;5e-06
1;4;4;3.3e-05
1;4;5;3.7e-05
1;4;6;4.2e-05
1;4;7;4.7e-05
1;4;8;5.1e-05
1;4;9;5.7e-05
1;4;10;6.1e-05
1;4;11;6.5e-05
1;4;12;7e-05
1;4;13;7.4e-05
1;4;14;7.8e-05
1;4;15;0.000104
1;5;1;5e-06
1;5;2;5e-06
1;5;3;4e-06
1;5;4;5e-06
1;5;5;4.4e-05
1;5;6;4.7e-05
1;5;7;5.1e-05
1;5;8;5.6e-05
1;5;9;6.3e-05
1;5;10;6.7e-05
1;5;11;7.2e-05
1;5;12;7.6e-05
1;5;13;8e-05
1;5;14;8.5e-05
1;5;15;8.9e-05
1;6;1;5e-06
1;6;2;4e-06
1;6;3;4e-06
1;6;4;5e-06
1;6;5;5e-06
1;6;6;5.2e-05
1;6;7;5.6e-05
1;6;8;6.2e-05
1;6;9;6.8e-05
1;6;10;7.2e-05
1;6;11;7.7e-05
1;6;12;8.2e-05
1;6;13;8.7e-05
1;6;14;9.1e-05
1;6;15;9.6e-05
1;7;1;4e-06
1;7;2;5e-06
1;7;3;4e-06
1;7;4;5e-06
1;7;5;5e-06
1;7;6;5e-06
1;7;7;6.1e-05
1;7;8;6.5e-05
1;7;9;7.2e-05
1;7;10;7.7e-05
1;7;11;8.2e-05
1;7;12;8.7e-05
1;7;13;9.1e-05
1;7;14;9.6e-05
1;7;15;0.000102
1;8;1;5e-06
1;8;2;4e-06
1;8;3;5e-06
1;8;4;6e-06
1;8;5;5e-06
1;8;6;5e-06
1;8;7;1e-05
1;8;8;7.2e-05
1;8;9;7.8e-05
1;8;10;8.2e-05
1;8;11;8.7e-05
1;8;12;9.2e-05
1;8;13;9.7e-05
1;8;14;0.000104
1;8;15;0.000108
1;9;1;4e-06
1;9;2;4e-06
1;9;3;4e-06
1;9;4;4e-06
1;9;5;5e-06
1;9;6;5e-06
1;9;7;5e-06
1;9;8;6e-06
1;9;9;8.4e-05
1;9;10;8.8e-05
