Clocks;Locations;Transitions;Time(s)
1;1;1;0.000124
1;1;2;0.000162
1;1;3;0.000209
1;1;4;0.000254
1;1;5;0.000329
1;1;6;0.000354
1;1;7;0.000387
1;1;8;0.00043
1;1;9;0.000489
1;1;10;0.000527
1;1;11;0.000569
1;1;12;0.000628
1;1;13;0.000657
1;1;14;0.000712
1;1;15;0.000718
1;2;1;0.000114
1;2;2;0.000115
1;2;3;0.00016
1;2;4;0.000161
1;2;5;0.000207
1;2;6;0.000208
1;2;7;0.000251
1;2;8;0.00026
1;2;9;0.000309
1;2;10;0.000307
1;2;11;0.000357
1;2;12;0.000356
1;2;13;0.000393
1;2;14;0.000405
1;2;15;0.000446
1;3;1;0.000117
1;3;2;0.000117
1;3;3;0.000118
1;3;4;0.000165
1;3;5;0.000166
1;3;6;0.00019
1;3;7;0.00022
1;3;8;0.000218
1;3;9;0.000218
1;3;10;0.00026
1;3;11;0.000259
1;3;12;0.000259
1;3;13;0.000317
1;3;14;0.000314
1;3;15;0.000321
1;4;1;0.000116
1;4;2;0.000117
1;4;3;0.000119
1;4;4;0.00012
1;4;5;0.000165
1;4;6;0.00017
1;4;7;0.000169
1;4;8;0.00017
1;4;9;0.000218
1;4;10;0.000219
1;4;11;0.000221
1;4;12;0.000222
1;4;13;0.000266
1;4;14;0.000263
1;4;15;0.000264
1;5;1;0.000113
1;5;2;0.000114
1;5;3;0.000115
1;5;4;0.00012
1;5;5;0.000121
1;5;6;0.000168
1;5;7;0.000169
1;5;8;0.000177
1;5;9;0.000172
1;5;10;0.000183
1;5;11;0.000221
1;5;12;0.000224
1;5;13;0.000226
1;5;14;0.000227
1;5;15;0.000228
1;6;1;0.000116
1;6;2;0.000116
1;6;3;0.000118
1;6;4;0.000119
1;6;5;0.000121
1;6;6;0.000123
1;6;7;0.000169
1;6;8;0.000171
1;6;9;0.000171
1;6;10;0.000173
1;6;11;0.000175
1;6;12;0.000177
1;6;13;0.000224
1;6;14;0.000255
1;6;15;0.000231
1;7;1;0.000116
1;7;2;0.000117
1;7;3;0.000118
1;7;4;0.00012
1;7;5;0.000121
1;7;6;0.000123
1;7;7;0.000125
1;7;8;0.000171
1;7;9;0.000173
1;7;10;0.000174
1;7;11;0.000174
1;7;12;0.000176
1;7;13;0.000179
1;7;14;0.00018
1;7;15;0.000229
1;8;1;0.000117
1;8;2;0.000117
1;8;3;0.000175
1;8;4;0.000122
1;8;5;0.000129
1;8;6;0.000192
1;8;7;0.000125
1;8;8;0.000126
1;8;9;0.000176
1;8;10;0.000188
1;8;11;0.000176
1;8;12;0.000179
1;8;13;0.000179
1;8;14;0.000196
1;8;15;0.000182
1;9;1;0.000115
1;9;2;0.000124
1;9;3;0.00012
1;9;4;0.000127
1;9;5;0.000122
1;9;6;0.000124
1;9;7;0.000124
1;9;8;0.000126
1;9;9;0.000129
1;9;10;0.000175
1;9;11;0.000187
1;9;12;0.0002
1;9;13;0.000181
1;9;14;0.000181
1;9;15;0.000182
1;10;1;0.000116
1;10;2;0.000116
1;10;3;0.000118
1;10;4;0.00012
1;10;5;0.000122
1;10;6;0.000123
1;10;7;0.000124
1;10;8;0.000125
1;10;9;0.000127
1;10;10;0.000129
1;10;11;0.000176
1;10;12;0.000228
1;10;13;0.000182
