Clocks;Locations;Transitions;Time(s)
1;1;1;9.7e-05
1;1;2;8.3e-05
1;1;3;0.000235
1;1;4;0.001119
1;1;5;0.000347
1;1;6;0.000697
1;1;7;0.000366
1;1;8;0.000524
1;1;9;0.000319
1;1;10;0.000261
1;1;11;0.00034
1;1;12;0.00066
1;1;13;0.000648
1;1;14;0.002377
1;1;15;0.001314
1;2;1;0.000162
1;2;2;0.000156
1;2;3;0.000283
1;2;4;0.001125
1;2;5;0.000307
1;2;6;0.000317
1;2;7;0.00034
1;2;8;0.000345
1;2;9;0.000165
1;2;10;0.000152
1;2;11;0.000368
1;2;12;0.000541
1;2;13;0.0002
1;2;14;0.000334
1;2;15;0.000361
1;3;1;0.000112
1;3;2;7e-05
1;3;3;6.4e-05
1;3;4;9.3e-05
1;3;5;0.000292
1;3;6;0.000242
1;3;7;0.000116
1;3;8;0.000188
1;3;9;0.00025
1;3;10;0.000278
1;3;11;0.00022
1;3;12;0.000143
1;3;13;0.000152
1;3;14;0.000154
1;3;15;0.000162
1;4;1;6e-05
1;4;2;6e-05
1;4;3;6.3e-05
1;4;4;6.2e-05
1;4;5;8.2e-05
1;4;6;8.3e-05
1;4;7;8.4e-05
1;4;8;8.5e-05
1;4;9;0.000108
1;4;10;0.000109
1;4;11;0.000109
1;4;12;0.000111
1;4;13;0.000328
1;4;14;0.000318
1;4;15;0.000153
1;5;1;0.000176
1;5;2;0.000218
1;5;3;6.3e-05
1;5;4;6.1e-05
1;5;5;6.3e-05
1;5;6;8.3e-05
1;5;7;8.4e-05
1;5;8;0.000121
1;5;9;8.7e-05
1;5;10;8.8e-05
1;5;11;0.000322
1;5;12;0.000355
1;5;13;0.00018
1;5;14;0.000114
1;5;15;0.000114
1;6;1;6e-05
1;6;2;6.1e-05
1;6;3;6.1e-05
1;6;4;0.000174
1;6;5;0.000186
1;6;6;0.000128
1;6;7;0.000155
1;6;8;0.000186
1;6;9;0.000258
1;6;10;0.000165
1;6;11;0.000129
1;6;12;8.9e-05
1;6;13;0.000113
1;6;14;0.000113
1;6;15;0.000139
1;7;1;5.9e-05
1;7;2;6.1e-05
1;7;3;6.1e-05
1;7;4;6.2e-05
1;7;5;6.2e-05
1;7;6;0.000146
1;7;7;8.5e-05
1;7;8;0.000148
1;7;9;8.6e-05
1;7;10;8.8e-05
1;7;11;8.8e-05
1;7;12;8.7e-05
1;7;13;8.9e-05
1;7;14;9e-05
1;7;15;0.000114
1;8;1;5.9e-05
1;8;2;8.2e-05
1;8;3;0.000233
1;8;4;0.000163
1;8;5;0.000163
1;8;6;0.000158
1;8;7;6.5e-05
1;8;8;0.000149
1;8;9;0.000259
1;8;10;8.8e-05
1;8;11;0.00012
1;8;12;0.000124
1;8;13;9e-05
1;8;14;8.9e-05
1;8;15;9e-05
1;9;1;5.9e-05
1;9;2;6e-05
1;9;3;6.1e-05
1;9;4;6.1e-05
1;9;5;6.3e-05
1;9;6;6.3e-05
1;9;7;7.4e-05
1;9;8;6.5e-05
1;9;9;7.5e-05
1;9;10;8.7e-05
