Clocks,Locations,Transitions,Time(s)
1,1,1,0.000124
1,1,2,0.000161
1,1,3,0.000204
1,1,4,0.000247
1,1,5,0.000294
1,1,6,0.000338
1,1,7,0.000382
1,1,8,0.000424
1,1,9,0.000477
1,1,10,0.000515
1,1,11,0.000552
1,1,12,0.00059
1,1,13,0.000647
1,1,14,0.00069
1,1,15,0.00073
1,2,1,0.000116
1,2,2,0.000114
1,2,3,0.000159
1,2,4,0.000159
1,2,5,0.00021
1,2,6,0.000212
1,2,7,0.000258
1,2,8,0.000258
1,2,9,0.000307
1,2,10,0.000309
1,2,11,0.000354
1,2,12,0.000355
1,2,13,0.000395
1,2,14,0.000395
1,2,15,0.000443
1,3,1,0.000116
1,3,2,0.000116
1,3,3,0.000118
1,3,4,0.000165
1,3,5,0.000165
1,3,6,0.000167
1,3,7,0.000215
1,3,8,0.000217
1,3,9,0.000218
1,3,10,0.000262
1,3,11,0.000267
1,3,12,0.000264
1,3,13,0.000314
1,3,14,0.000317
1,3,15,0.000317
1,4,1,0.000116
1,4,2,0.000116
1,4,3,0.000118
1,4,4,0.000119
1,4,5,0.000166
1,4,6,0.000167
1,4,7,0.000168
1,4,8,0.00017
1,4,9,0.000219
1,4,10,0.000219
1,4,11,0.000221
1,4,12,0.000223
1,4,13,0.000271
1,4,14,0.000274
1,4,15,0.00027
1,5,1,0.000116
1,5,2,0.000119
1,5,3,0.000118
1,5,4,0.000119
1,5,5,0.000121
1,5,6,0.000167
1,5,7,0.000169
1,5,8,0.00017
1,5,9,0.000172
1,5,10,0.000173
1,5,11,0.000222
1,5,12,0.000222
1,5,13,0.000224
1,5,14,0.000225
1,5,15,0.000227
1,6,1,0.000115
1,6,2,0.000117
1,6,3,0.000118
1,6,4,0.00012
1,6,5,0.000121
1,6,6,0.000123
1,6,7,0.000169
1,6,8,0.000169
1,6,9,0.000172
1,6,10,0.000173
1,6,11,0.000182
1,6,12,0.000176
1,6,13,0.000225
1,6,14,0.000226
1,6,15,0.000232
1,7,1,0.000115
1,7,2,0.000116
1,7,3,0.000117
1,7,4,0.00012
1,7,5,0.000121
1,7,6,0.000123
1,7,7,0.000124
1,7,8,0.000172
1,7,9,0.000172
1,7,10,0.000174
1,7,11,0.000175
1,7,12,0.000176
1,7,13,0.000178
1,7,14,0.00018
1,7,15,0.000228
1,8,1,0.000115
1,8,2,0.000117
1,8,3,0.000119
1,8,4,0.000119
1,8,5,0.000121
1,8,6,0.000122
