Clocks,Locations,Transitions,Time(s)
1,1,1,0.000125
1,1,2,0.000123
1,1,3,0.00029
1,1,4,0.000166
1,1,5,0.000189
1,1,6,0.000222
1,1,7,0.000247
1,1,8,0.000269
1,1,9,0.000303
1,1,10,0.000324
1,1,11,0.000347
1,1,12,0.000365
1,1,13,0.000474
1,1,14,0.000431
1,1,15,0.000462
1,2,1,7.8e-05
1,2,2,7.8e-05
1,2,3,0.000104
1,2,4,0.000105
1,2,5,0.000136
1,2,6,0.000136
1,2,7,0.000162
1,2,8,0.000373
1,2,9,0.000197
1,2,10,0.000194
1,2,11,0.000228
1,2,12,0.000229
1,2,13,0.000249
1,2,14,0.00025
1,2,15,0.00041
1,3,1,8.1e-05
1,3,2,7.8e-05
1,3,3,7.9e-05
1,3,4,0.000106
1,3,5,0.000107
1,3,6,0.00011
1,3,7,0.000139
1,3,8,0.000139
1,3,9,0.000141
1,3,10,0.000169
1,3,11,0.000364
1,3,12,0.000247
1,3,13,0.000212
1,3,14,0.00034
1,3,15,0.000242
1,4,1,8.3e-05
1,4,2,8.3e-05
1,4,3,8.4e-05
1,4,4,0.000135
1,4,5,0.000132
1,4,6,0.000134
1,4,7,0.000595
1,4,8,0.000144
1,4,9,0.000322
1,4,10,0.000257
1,4,11,0.000146
1,4,12,0.000153
1,4,13,0.000352
1,4,14,0.000307
1,4,15,0.000173
1,5,1,0.000109
1,5,2,0.000378
1,5,3,0.000159
1,5,4,8.8e-05
1,5,5,0.000198
1,5,6,0.000235
1,5,7,0.000103
1,5,8,0.000114
1,5,9,0.001037
1,5,10,0.00017
1,5,11,0.000155
1,5,12,0.000132
1,5,13,0.00013
1,5,14,0.000142
1,5,15,0.000147
1,6,1,7.9e-05
1,6,2,8e-05
1,6,3,0.000286
1,6,4,0.000113
1,6,5,0.000652
1,6,6,0.000235
1,6,7,0.00074
1,6,8,0.000804
1,6,9,0.000487
1,6,10,9.9e-05
1,6,11,9.9e-05
1,6,12,9.7e-05
1,6,13,0.000137
1,6,14,0.000538
1,6,15,0.001516
1,7,1,9.9e-05
1,7,2,0.000162
1,7,3,0.000376
1,7,4,0.000147
1,7,5,0.000131
1,7,6,6.8e-05
1,7,7,7e-05
1,7,8,0.000147
1,7,9,9.1e-05
1,7,10,0.000124
1,7,11,0.000168
1,7,12,9.1e-05
1,7,13,0.0001
1,7,14,0.000102
1,7,15,0.000118
1,8,1,7.3e-05
1,8,2,6.3e-05
1,8,3,7.7e-05
1,8,4,0.000141
1,8,5,6.5e-05
1,8,6,0.000236
1,8,7,6.6e-05
1,8,8,6.7e-05
1,8,9,0.000605
1,8,10,0.000131
1,8,11,9e-05
1,8,12,8.8e-05
1,8,13,8.8e-05
1,8,14,8.9e-05
1,8,15,9e-05
1,9,1,5.9e-05
1,9,2,6e-05
1,9,3,6.1e-05
1,9,4,6.4e-05
1,9,5,6.3e-05
1,9,6,6.3e-05
1,9,7,6.9e-05
1,9,8,7.4e-05
1,9,9,6.6e-05
1,9,10,8.7e-05
1,9,11,8.7e-05
1,9,12,8.8e-05
1,9,13,8.9e-05
1,9,14,9e-05
1,9,15,9e-05
1,10,1,5.9e-05
1,10,2,6e-05
1,10,3,6e-05
1,10,4,6.1e-05
1,10,5,7e-05
1,10,6,6.4e-05
1,10,7,6.4e-05
1,10,8,6.5e-05
1,10,9,6.5e-05
1,10,10,6.7e-05
1,10,11,8.8e-05
1,10,12,8.8e-05
1,10,13,8.9e-05
1,10,14,0.000267
1,10,15,9e-05
1,11,1,6.6e-05
1,11,2,6.1e-05
1,11,3,6.1e-05
1,11,4,6.2e-05
1,11,5,6.3e-05
1,11,6,6.2e-05
1,11,7,6.4e-05
1,11,8,6.5e-05
1,11,9,6.6e-05
1,11,10,6.5e-05
1,11,11,6.7e-05
1,11,12,8.9e-05
1,11,13,0.000724
1,11,14,0.000452
1,11,15,0.000121
1,12,1,9.6e-05
1,12,2,6.7e-05
1,12,3,6.1e-05
1,12,4,6.5e-05
1,12,5,6.3e-05
1,12,6,6.3e-05
1,12,7,6.3e-05
1,12,8,6.4e-05
1,12,9,0.000102
1,12,10,6.7e-05
1,12,11,6.7e-05
1,12,12,0.000169
1,12,13,9.9e-05
1,12,14,9.1e-05
1,12,15,9e-05
1,13,1,7.6e-05
1,13,2,6e-05
1,13,3,6.1e-05
1,13,4,6.1e-05
1,13,5,6.3e-05
1,13,6,6.4e-05
1,13,7,6.4e-05
1,13,8,6.8e-05
1,13,9,7.3e-05
1,13,10,6.6e-05
1,13,11,6.7e-05
1,13,12,6.7e-05
1,13,13,6.8e-05
1,13,14,9e-05
1,13,15,9e-05
1,14,1,5.8e-05
1,14,2,5.9e-05
1,14,3,6e-05
1,14,4,6.1e-05
1,14,5,6.2e-05
1,14,6,6.3e-05
1,14,7,6.4e-05
1,14,8,6.4e-05
1,14,9,6.5e-05
1,14,10,6.5e-05
1,14,11,6.7e-05
1,14,12,6.7e-05
1,14,13,6.8e-05
1,14,14,6.9e-05
1,14,15,9e-05
1,15,1,5.9e-05
1,15,2,5.9e-05
1,15,3,5.9e-05
1,15,4,6.2e-05
1,15,5,6.1e-05
1,15,6,6.2e-05
1,15,7,6.3e-05
1,15,8,6.4e-05
1,15,9,6.5e-05
1,15,10,6.6e-05
1,15,11,7.2e-05
1,15,12,6.9e-05
1,15,13,7.5e-05
1,15,14,7e-05
1,15,15,7e-05
2,1,1,7.7e-05
2,1,2,0.000103
2,1,3,0.000131
2,1,4,0.000157
2,1,5,0.000187
2,1,6,0.000215
2,1,7,0.000246
2,1,8,0.000267
2,1,9,0.000299
2,1,10,0.000321
2,1,11,0.000347
2,1,12,0.000366
2,1,13,0.000423
2,1,14,0.000429
2,1,15,0.000452
2,2,1,7.6e-05
2,2,2,7.7e-05
2,2,3,0.000102
2,2,4,0.000104
2,2,5,0.000136
2,2,6,0.000134
2,2,7,0.000159
2,2,8,0.000159
2,2,9,0.000189
2,2,10,0.000189
2,2,11,0.00022
2,2,12,0.000221
2,2,13,0.000244
2,2,14,0.000532
2,2,15,0.000282
2,3,1,0.000119
2,3,2,7.8e-05
2,3,3,8.3e-05
2,3,4,0.000106
2,3,5,0.000105
2,3,6,0.000105
2,3,7,0.000136
2,3,8,0.000135
2,3,9,0.000136
2,3,10,0.000163
2,3,11,0.000163
2,3,12,0.000163
2,3,13,0.000191
2,3,14,0.000193
2,3,15,0.000194
2,4,1,7.7e-05
2,4,2,7.6e-05
2,4,3,7.7e-05
2,4,4,7.8e-05
